영웅 레벨 달성 보상 테이블 기본키,레벨 달성 보상이 지급될 영웅,보상 해금 레벨,해금 보상 ID,기획용 비고
id,heroId,level,rewardId,note
String,String,Int,String,String
lv03_reward_hero_corsair_1,hero_corsair,3,passiveSkill_corsair_1,커세어 패시브스킬 1 해금
lv06_reward_hero_corsair_1,hero_corsair,6,augmentSkill_corsair_B,커세어 증강스킬 B 해금
lv06_reward_hero_corsair_2,hero_corsair,6,augmentSkill_corsair_B_enhance,커세어 증강스킬 B (강화) 해금
lv09_reward_hero_corsair_1,hero_corsair,9,passiveSkill_corsair_2,커세어 패시브스킬 2 해금
lv03_reward_hero_heavyrain_1,hero_heavyrain,3,passiveSkill_heavyrain_1,헤비레인 패시브스킬 1 해금
lv06_reward_hero_heavyrain_1,hero_heavyrain,6,augmentSkill_heavyrain_B,헤비레인 증강스킬 B 해금
lv06_reward_hero_heavyrain_2,hero_heavyrain,6,augmentSkill_heavyrain_B_enhance,헤비레인 증강스킬 B (강화) 해금
lv09_reward_hero_heavyrain_1,hero_heavyrain,9,passiveSkill_heavyrain_2,헤비레인 패시브스킬 2 해금
lv03_reward_hero_tank_1,hero_tank,3,passiveSkill_tank_1,탱크 패시브스킬 1 해금
lv06_reward_hero_tank_1,hero_tank,6,augmentSkill_tank_B,탱크 증강스킬 B 해금
lv06_reward_hero_tank_2,hero_tank,6,augmentSkill_tank_B_enhance,탱크 증강스킬 B (강화) 해금
lv09_reward_hero_tank_1,hero_tank,9,passiveSkill_tank_2,탱크 패시브스킬 2 해금
lv03_reward_hero_angel_1,hero_angel,3,passiveSkill_angel_1,앤젤 패시브스킬 1 해금
lv06_reward_hero_angel_1,hero_angel,6,augmentSkill_angel_B,앤젤 증강스킬 B 해금
lv06_reward_hero_angel_2,hero_angel,6,augmentSkill_angel_B_enhance,앤젤 증강스킬 B (강화) 해금
lv09_reward_hero_angel_1,hero_angel,9,passiveSkill_angel_2,앤젤 패시브스킬 2 해금
