스킬 id,히어로 id,스킬 타입,스킬 이름,스킬 설명,스킬 아이콘 이름,시작시 해금 여부,기획자용노트
id,heroId,skillType,skillName,skillDes,skillIcon,isOpened,note
String,String,SkillType,String,String,String,Bool,String
normalAttack_corsair,hero_corsair,normal_attack,,,,TRUE,"평타 (스킬 이름, 설명, 아이콘 없음)"
normalSkill_corsair,hero_corsair,normal_skill,skill_name_corsair,skill_desc_corsair,icon_skill_normalSkill_corsair,TRUE,
augmentSkill_corsair_A,hero_corsair,augment_skill,augment_name_corsair_A,augment1_desc_corsair_A,icon_skill_augmentSkill_corsair_A,TRUE,
augmentSkill_corsair_B,hero_corsair,augment_skill,augment_name_corsair_B,augment2_desc_corsair_B,icon_skill_augmentSkill_corsair_B,FALSE,
augmentSkill_corsair_A_enhance,hero_corsair,enhance_augment_skill,enhance_augment_name_corsair_A,enhance_augment_desc_corsair_A,icon_skill_enhance_augmentSkill_corsair_A,TRUE,
augmentSkill_corsair_B_enhance,hero_corsair,enhance_augment_skill,enhance_augment_name_corsair_B,enhance_augment_desc_corsair_B,icon_skill_enhance_augmentSkill_corsair_B,FALSE,
passiveSkill_corsair_1,hero_corsair,passive_skill,passive_name_corsair_1,passive_desc_hero_corsair_1,icon_skill_passive_corsair_1,FALSE,
passiveSkill_corsair_2,hero_corsair,passive_skill,passive_name_corsair_2,passive_desc_hero_corsair_2,icon_skill_passive_corsair_2,FALSE,
normalAttack_tank,hero_tank,normal_attack,,,,TRUE,"평타 (스킬 이름, 설명, 아이콘 없음)"
normalSkill_tank,hero_tank,normal_skill,skill_name_tank,skill_desc_tank,icon_skill_normalSkill_tank,TRUE,
augmentSkill_tank_A,hero_tank,augment_skill,augment_name_tank_A,augment1_desc_tank_A,icon_skill_augmentSkill_tank_A,TRUE,
augmentSkill_tank_A_enhance,hero_tank,augment_skill,augment_name_tank_B,augment2_desc_tank_B,icon_skill_augmentSkill_tank_B,FALSE,
augmentSkill_tank_B,hero_tank,enhance_augment_skill,enhance_augment_name_tank_A,enhance_augment_desc_tank_A,icon_skill_enhance_augmentSkill_tank_A,TRUE,
augmentSkill_tank_B_enhance,hero_tank,enhance_augment_skill,enhance_augment_name_tank_B,enhance_augment_desc_tank_B,icon_skill_enhance_augmentSkill_tank_B,FALSE,
passiveSkill_tank_1,hero_tank,passive_skill,passive_name_tank_1,passive_desc_hero_tank_1,icon_skill_passive_tank_1,FALSE,
passiveSkill_tank_2,hero_tank,passive_skill,passive_name_tank_2,passive_desc_hero_tank_2,icon_skill_passive_tank_2,FALSE,
normalAttack_heavyrain,hero_heavyrain,normal_attack,,,,TRUE,"평타 (스킬 이름, 설명, 아이콘 없음)"
normalSkill_heavyrain,hero_heavyrain,normal_skill,skill_name_heavyrain,skill_desc_heavyrain,icon_skill_normalSkill_heavyrain,TRUE,
augmentSkill_heavyrain_A,hero_heavyrain,augment_skill,augment_name_heavyrain_A,augment1_desc_heavyrain_A,icon_skill_augmentSkill_heavyrain_A,TRUE,
augmentSkill_heavyrain_A_enhance,hero_heavyrain,augment_skill,augment_name_heavyrain_B,augment2_desc_heavyrain_B,icon_skill_augmentSkill_heavyrain_B,FALSE,
augmentSkill_heavyrain_B,hero_heavyrain,enhance_augment_skill,enhance_augment_name_heavyrain_A,enhance_augment_desc_heavyrain_A,icon_skill_enhance_augmentSkill_heavyrain_A,TRUE,
augmentSkill_heavyrain_B_enhance,hero_heavyrain,enhance_augment_skill,enhance_augment_name_heavyrain_B,enhance_augment_desc_heavyrain_B,icon_skill_enhance_augmentSkill_heavyrain_B,FALSE,
passiveSkill_tank_1,hero_heavyrain,passive_skill,passive_name_heavyrain_1,passive_desc_hero_heavyrain_1,icon_skill_passive_heavyrain_1,FALSE,
passiveSkill_tank_2,hero_heavyrain,passive_skill,passive_name_heavyrain_2,passive_desc_hero_heavyrain_2,icon_skill_passive_heavyrain_2,FALSE,
normalAttack_angel,hero_angel,normal_attack,,,,TRUE,"평타 (스킬 이름, 설명, 아이콘 없음)"
normalSkill_angel,hero_angel,normal_skill,skill_name_angel,skill_desc_angel,icon_skill_normalSkill_angel,TRUE,
augmentSkill_angel_A,hero_angel,augment_skill,augment_name_angel_A,augment1_desc_angel_A,icon_skill_augmentSkill_angel_A,TRUE,
augmentSkill_angel_A_enhance,hero_angel,augment_skill,augment_name_angel_B,augment2_desc_angel_B,icon_skill_augmentSkill_angel_B,FALSE,
augmentSkill_angel_B,hero_angel,enhance_augment_skill,enhance_augment_name_angel_A,enhance_augment_desc_angel_A,icon_skill_enhance_augmentSkill_angel_A,TRUE,
augmentSkill_angel_B_enhance,hero_angel,enhance_augment_skill,enhance_augment_name_angel_B,enhance_augment_desc_angel_B,icon_skill_enhance_augmentSkill_angel_B,FALSE,
passiveSkill_tank_1,hero_angel,passive_skill,passive_name_angel_1,passive_desc_hero_angel_1,icon_skill_passive_angel_1,FALSE,
passiveSkill_tank_2,hero_angel,passive_skill,passive_name_angel_2,passive_desc_hero_angel_2,icon_skill_passive_angel_2,FALSE,
